DrawDate,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Bonus,Extra1,Extra2,Extra3,Extra4
2025-12-12,4,16,25,28,36,38,41,9,2,20,28,71
2025-12-09,3,19,20,29,30,34,49,22,45,49,54,68
2025-12-05,4,15,32,34,40,45,48,7,12,26,33,55
2025-12-02,7,8,16,21,33,34,37,20,15,57,63,94
2025-11-28,1,7,12,16,28,47,50,45,12,23,43,44
2025-11-25,12,15,16,19,21,40,48,4,1,24,69,86
2025-11-21,7,8,20,30,39,40,47,34,37,53,68,87
2025-11-18,10,18,21,28,32,38,41,47,10,58,89,95
2025-11-14,1,7,17,23,27,35,43,4,29,31,40,60
2025-11-11,1,4,8,18,27,42,50,19,43,62,76,84
2025-11-07,5,28,31,33,39,40,49,45,1,19,54,69
2025-11-04,3,4,24,26,28,32,33,45,2,23,26,40
2025-10-31,12,14,22,29,30,46,48,31,13,42,67,68
2025-10-28,6,14,17,19,26,43,45,27,40,45,50,85
2025-10-24,9,16,22,31,36,44,47,40,12,30,77,80
2025-10-21,1,7,17,18,25,28,45,12,1,2,52,80
2025-10-17,4,19,20,23,24,43,45,5,17,25,34,49
2025-10-14,3,9,12,15,28,30,37,1,39,63,70,92
2025-10-10,4,9,10,16,33,45,50,36,63,69,83,96
2025-10-07,5,6,16,26,29,37,44,46,1,34,43,51
2025-10-03,10,17,22,30,36,42,45,33,11,16,77,78
2025-08-29,3,5,12,18,20,31,34,16,5,18,30,31
2025-08-26,3,7,14,22,29,33,50,43,45,56,70,72
2025-08-22,5,8,9,21,22,30,45,16,10,20,37,75
2025-08-19,7,10,11,17,19,34,45,36,16,25,69,80
2025-08-15,4,9,19,21,27,41,44,11,23,25,50,93
2025-08-12,15,16,21,27,28,33,39,10,5,55,64,90
2025-08-08,7,8,18,28,31,36,41,1,17,64,82,94
2025-08-05,4,8,12,26,29,33,37,24,41,42,45,98
2025-08-01,12,21,26,35,39,44,50,18,29,46,51,63
2025-07-29,10,13,15,17,33,37,46,3,6,51,72,91
2025-07-25,9,10,22,29,35,37,46,38,20,33,36,93
2025-07-22,2,3,8,10,42,46,47,20,35,46,73,84
2025-07-18,9,14,33,40,41,43,44,4,12,45,88,95
2025-07-15,3,4,7,14,24,41,43,27,3,17,54,66
2025-07-11,4,5,10,34,36,44,50,23,39,47,51,69
2025-07-08,7,8,18,27,38,48,50,5,1,42,69,75
2025-07-04,6,14,23,31,34,35,42,1,13,14,75,91
2025-07-01,2,5,14,26,33,35,36,10,31,47,66,74
2025-06-27,8,12,15,27,31,42,47,41,9,11,13,70
2025-06-24,1,2,7,32,45,46,48,24,12,34,60,94
2025-06-20,14,17,20,24,42,47,50,25,29,57,58,88
2025-06-17,2,10,25,36,46,48,50,29,50,66,88,98
2025-06-13,2,28,34,37,40,46,47,32,36,38,79,89
2025-06-10,5,9,20,31,37,49,50,29,8,33,48,95
2025-06-06,2,5,8,9,24,28,32,22,26,31,35,53
2025-06-03,6,29,39,40,42,44,48,22,57,61,84,99
2025-05-30,7,9,18,24,25,31,48,14,32,49,70,82
2025-05-27,5,7,11,18,26,41,46,43,8,38,81,82
2025-05-23,13,19,23,26,36,39,47,7,4,11,54,89
2025-05-20,3,7,13,14,20,21,45,5,7,17,51,52
2025-05-16,20,22,25,31,34,37,46,50,2,24,67,86
2025-05-13,10,11,13,20,24,44,46,9,16,18,33,66
2025-05-09,6,10,16,17,30,38,48,25,11,57,68,96
2025-05-06,5,13,15,20,45,48,49,19,3,4,30,91
2025-05-02,4,9,19,22,23,32,41,34,32,39,75,88
2025-04-29,3,11,14,29,33,38,45,18,4,23,55,79
2025-04-25,5,6,14,17,31,40,48,2,23,64,66,77
2025-04-22,5,19,25,31,34,38,48,15,16,83,97,98
2025-04-18,1,3,5,6,14,18,34,7,33,58,63,73
2025-04-15,12,20,21,27,36,40,42,5,3,22,28,32
2025-04-11,6,23,24,43,44,49,50,34,3,19,21,64
2025-04-08,10,12,22,24,31,40,41,19,60,63,69,73
2025-04-04,6,18,22,40,41,43,46,4,56,71,78,80
2025-04-01,6,18,27,30,31,43,48,14,19,27,47,65
2025-03-28,7,13,33,40,44,49,50,32,24,62,66,91
2025-03-25,1,10,16,36,39,45,47,4,14,15,24,38
2025-03-21,20,26,30,32,36,40,48,50,16,20,49,86
2025-03-18,4,14,20,36,38,42,45,43,70,74,92,98
2025-03-14,18,19,22,27,30,38,50,24,36,46,56,77
2025-03-11,2,10,19,21,29,35,40,46,5,7,72,84
2025-03-07,4,12,28,36,38,45,50,49,6,36,43,89
2025-03-04,15,21,26,35,36,43,45,41,52,56,65,92
2025-02-28,4,6,15,16,35,43,44,29,4,22,67,82
2025-02-25,7,19,20,30,34,47,50,38,29,44,81,95
2025-02-21,3,5,8,25,29,32,43,31,13,28,57,96
2025-02-18,5,13,18,25,34,36,44,1,13,59,70,97
2025-02-14,1,7,20,27,30,35,48,44,15,22,71,78
2025-02-11,1,8,17,22,39,45,46,23,3,8,42,57
2025-02-07,10,11,20,21,27,32,49,35,51,68,80,91
2025-02-04,10,14,16,27,35,40,50,22,18,79,83,89
